hyundai,santafe ix45,2015,2400cc,420000000,melli,48000,1,0,12,1,1
toyota,camry,2014,glx,410000000,melli,59000,1,0,1,0,2
peugeot,206 ir,2016,type5,58000000,melli,103000,0,0,11,0,1
lexus nx,300h f,2017,sport,895000000,melli,5150,1,2,1,12,1
mvm,x33s at,2016,sport,139000000,melli,51000,1,0,1,0,1
hyundai,tucson,2017,ix35,465000000,melli,51000,1,0,1,0,4
hyundai,veracruz,2013,ix55,520000000,melli,160000,1,0,1,1,1
peugeot,206 ir,2017,type5,62000000,melli,50000,0,0,1,7,1
toyota,c hr,2017,hybrid,500000000,melli,9200,1,2,1,12,-1
toyota,camry,2006,grand,165000000,melli,190000,1,0,4,10,2
mercedes benz,cls class,2009,cls350,700000000,melli,45000,1,0,1,0,6
kia,optima,2017,gtline,455000000,melli,31000,1,0,3,6,1
kia,sorento,2016,gtline,600000000,melli,42000,1,0,1,1,4
renault,duster pe,2016,fwd,200000000,melli,12000,1,0,1,24,2
mvm,x33s at,2018,sport,165000000,melli,10000,1,0,1,0,1
toyota,camry,2013,glx,390000000,melli,88000,1,0,1,1,2
bmw,x4,2017,28,1120000000,melli,39000,1,0,1,0,8
lexus,rx,2010,350,620000000,melli,155000,1,0,1,0,1
mvm,x22 at,2017,sport,120000000,melli,26000,1,0,1,8,12
kia,optima,2014,basic,355000000,melli,58000,1,0,1,0,1
toyota landcruiser,4door v6,2012,4000cc,1350000000,melli,92000,1,0,1,1,1
toyota,camry,2007,gl,180000000,melli,160000,0,0,1,0,2
renault,sandero,2018,at,116000000,melli,0,1,0,1,0,1
mercedes benz,e class,2014,e200,785000000,melli,49000,1,0,1,6,1
renault,sandero stepway,2017,at,117000000,melli,33000,1,0,1,0,3
toyota,camry,2007,glx,230000000,melli,186000,1,0,1,4,3
kia,sportage gt,2014,line,335000000,melli,61000,1,0,1,0,1
ssang yong,new korando,2015,premium,250000000,melli,35000,1,0,1,1,1
nissan,pickup ir,2008,2cab,97000000,melli,263000,0,0,14,2,3
toyota,aurion,2010,grande,385000000,melli,130000,1,0,3,0,2
peugeot,207,2018,at,109000000,melli,28000,1,0,1,0,1
peugeot,207,2011,at,75000000,melli,154000,1,0,1,1,-1
porsche,cayenne,2012,s,1250000000,melli,70000,1,0,1,0,8
bmw 5,series sedan,2017,530i,1300000000,melli,5000,1,0,1,0,5
mvm,315 hatchback,2015,basic,55000000,melli,120000,0,0,1,0,1
toyota,prado 4doors,2008,4cylinder,440000000,melli,260000,1,0,1,0,2
mitsubishi,lancer 1.8,2017,at,270000000,melli,23000,1,0,1,1,1
mercedes benz,e class,2015,e250,1100000000,melli,38000,1,0,1,0,2
alfa,romeo,2014,giulietta,320000000,melli,310000,1,0,5,21,1
bmw 5,series sedan,2014,528i,695000000,melli,80000,1,0,1,1,5
bmw 5,series sedan,2014,520i,670000000,melli,50000,1,0,1,2,2
mvm,110s,2017,luxury,40000000,melli,22500,0,0,3,8,1
lexus nx,300h f,2017,sport,910000000,melli,13000,1,2,1,0,1
mercedes benz,c class,2010,c200,450000000,melli,38000,1,0,1,0,1
peugeot,206 ir,2009,type6,45000000,melli,220000,1,0,5,21,-1
toyota,prado 2doors,2013,4cylinder,620000000,melli,110000,1,0,4,0,1
hyundai,accent,2018,ir,205000000,melli,0,1,0,1,0,1
mercedes benz,e class,2015,e250,1030000000,melli,27000,1,0,1,0,1
chery,arrizo5te at,2018,excellent,169000000,melli,14000,1,0,1,0,1
geely,emgrand7,2014,at,105000000,melli,86000,1,0,3,24,3
kia cerato,ir 2000,2018,optional,203000000,melli,0,1,0,1,0,1
toyota,hilux high,2015,mt,415000000,melli,48000,0,0,1,10,6
mazda,3 hatchback,2011,type3,182000000,melli,113000,1,0,12,0,1
hyundai,santafe ix45,2015,2400cc,355000000,melli,68000,1,0,3,0,1
toyota,prado 2doors,2012,4cylinder,680000000,melli,45000,1,0,1,0,1
bmw 5,series sedan,2018,530i,1490000000,melli,0,1,0,1,0,5
mvm,x22 at,2017,sport,122000000,melli,22000,1,0,1,2,12
honda,cr v,2016,exl,490000000,melli,45500,1,0,1,8,-1
hyundai,santafe ix45,2015,2400cc,440000000,melli,40000,1,0,1,1,1
haima,s7 1.8l,2018,turbo,200000000,melli,0,1,0,1,0,1
peugeot,206sd,2010,v9,49000000,melli,120000,1,0,5,0,1
bmw,x4,2016,28,940000000,melli,41000,1,0,1,19,5
jac,j5,2015,at,95000000,melli,117000,1,0,1,1,1
toyota,prado 4doors,2012,6cylinderonroad,930000000,melli,90000,1,0,1,0,2
mitsubishi,pajero 4door,2007,6cylinder,400000000,melli,0,1,0,1,1,2
nissan,pickup ir,2009,2cab,130000000,melli,220000,0,0,1,0,3
toyota,corolla,2006,xli,112000000,melli,230000,1,0,5,0,4
toyota,c hr,2017,fwd,427000000,melli,10000,1,0,1,0,1
peugeot,206sd,2015,v8,68500000,melli,92000,0,0,1,2,3
toyota,aurion,2013,sport,470000000,melli,49000,1,0,1,1,1
toyota,camry,2009,glx,270000000,melli,78000,1,0,1,0,2
nissan,x,2017,trail,470000000,melli,27500,1,0,1,13,1
kia,optima,2016,gtline,435000000,melli,30000,1,0,1,0,1
lexus,nx hybrid,2017,300h,825000000,melli,22800,1,2,1,12,1
hyundai,tucson,2017,ix35,460000000,melli,0,1,0,1,0,1
lexus,es,2015,250,725000000,melli,29000,1,0,1,0,1
toyota landcruiser,4door v6,2012,4000cc,1350000000,melli,100000,1,0,1,0,2
mitsubishi,outlander,2017,type5,480000000,melli,19000,1,0,1,1,1
jac,s5,2018,at,202000000,melli,0,1,0,1,0,1
mercedes benz,e class,2013,e200,750000000,melli,65000,1,0,1,0,1
bmw 5,series sedan,2015,528i,790000000,melli,109000,1,0,1,0,4
mercedes benz,cls class,2009,cls350,550000000,melli,170000,1,0,1,1,2
volvo,c70,2013,convertible,430000000,melli,90000,1,0,1,4,2
hyundai,avante,2010,mt,96000000,melli,138000,0,0,1,0,3
renault,sandero stepway,2017,at,122000000,melli,24000,1,0,1,0,6
alfa,romeo,2016,giulietta,445000000,melli,15000,1,0,1,2,4
alfa,romeo,2016,giulietta,430000000,melli,15000,1,0,1,2,4
kia,optima,2014,basic,355000000,melli,66000,1,0,1,0,2
hyundai,i20,2018,ir,210000000,melli,900,1,0,1,0,1
toyota,prius,2017,c,345000000,melli,35000,1,2,1,0,1
bmw 5,series sedan,2015,528i,880000000,melli,57000,1,0,1,1,5
citroen,xantia 2.0,2006,sx,43900000,melli,180000,0,0,5,4,3
peugeot,207,2018,at,115000000,melli,0,1,0,1,1,2
tiba,hatchback,2018,ex,41000000,melli,0,0,0,1,0,-1
mazda 3,sedan 2.0l,2011,type3,175000000,melli,122000,1,0,9,4,1
mercedes benz,c class,2007,c180,220000000,melli,120000,1,0,1,4,-1
toyota,prado 2doors,2007,4cylinder,420000000,melli,120000,1,0,1,0,2
kia,rio ir,2006,mt,34000000,melli,132000,0,0,1,0,3
chery,tiggo7,2017,excellent,260000000,melli,9350,1,0,1,8,12
hyundai,veracruz,2011,ix55,385000000,melli,148000,1,0,1,17,1
kia,sportage gt,2014,line,350000000,melli,69000,1,0,1,1,1
mazda,2,2011,ir,110000000,melli,62000,1,0,1,4,1
porsche,cayenne,2009,v6,620000000,melli,100000,1,0,3,2,1
chery,tiggo7,2018,excellent,260000000,melli,8500,1,0,1,7,1
lexus nx,200t f,2017,sport,900000000,melli,39000,1,0,1,0,4
